journal,title,doi,year,repo_urls
Nature,A long-period radio transient active for three decades,10.1038/s41586-023-06202-5,2023,https://github.com/ypmen/TransientX
Nature,Whole-cortex in situ sequencing reveals input-dependent area identity,10.1038/s41586-024-07221-6,2024,https://github.com/gillislab/barseq_analysis; https://github.com/shekharlab/mouseVC
Nature,Molecular gradients shape synaptic specificity of a visuomotor transformation,10.1038/s41586-025-09037-4,2025,https://github.com/rvlenth/emmeans
Nature,Fair human-centric image dataset for ethical AI benchmarking,10.1038/s41586-025-09716-2,2025,https://github.com/SonyResearch/fairness-benchmark-public; https://github.com/timesler/facenet-pytorch; https://github.com/xinntao/facexlib
Nature,Reply to: Amniote metabolism and the evolution of endothermy,10.1038/s41586-023-06412-x,2023,https://github.com/IrisMenendez/Dinosaur_metabolism
Science,Ice sheet–free West Antarctica during peak early Oligocene glaciation,10.1126/science.adj3931,2024,https://github.com/pism/docs
Science,Arctic sea ice retreat fuels boreal forest advance,10.1126/science.adh2339,2024,https://github.com/ctmaher/modendro; https://github.com/lme4/lme4
Science,Learning skillful medium-range global weather forecasting,10.1126/science.adi2336,2023,https://github.com/deepmind/dm-haiku; https://github.com/deepmind/jraph; https://github.com/google/jax
Science,Systematic discovery and engineering of synthetic immune receptors in plants,10.1126/science.adx2508,2025,https://github.com/MWSchmid/Ngou-et-al.-2025
Science,Transforming achiral semiconductors into chiral domains with exceptional circular dichroism,10.1126/science.ado7201,2025,https://github.com/Molecolab-Pisa/exat
Science,The genetic basis of a recent transition to live-bearing in marine snails,10.1126/science.adi2982,2024,https://github.com/gt1/biobambam2
Science,Targeted protein evolution in the gut microbiome by diversity-generating retroelements,10.1126/science.adv2111,2025,https://github.com/moshi4/pyGenomeViz
Science,Exogenous RNA surveillance by proton-sensing TRIM25,10.1126/science.ads4539,2025,https://github.com/NAalytics/Assemblies-of-putative-SARS-CoV2-spike-encoding-mRNA-sequences-for-vaccines-BNT-162b2-and-mRNA-1273
Science,Inspiraling streams of enriched gas observed around a massive galaxy 11 billion years ago,10.1126/science.abj9192,2023,https://github.com/Keck-DataReductionPipelines/KcwiDRP
Science,Experimentally realized in situ backpropagation for deep learning in photonic neural networks,10.1126/science.ade8450,2023,https://github.com/deepmind/dm-haiku; https://github.com/fancompute/simphox; https://github.com/google/jax; https://github.com/solgaardlab/dphox; https://github.com/solgaardlab/phox
Science,Restoring hippocampal glucose metabolism rescues cognition across Alzheimer’s disease pathologies,10.1126/science.abm6131,2024,https://github.com/FelixKrueger/TrimGalore
Science,The genetic architecture of cell type–specific cis regulation in maize,10.1126/science.ads6601,2025,https://github.com/broadinstitute/picard
