repo_url,repo_slug,repo_dir,scan_status,figure_code_files,figure_image_files,copied_assets,lfs_pointers,notes,last_scanned
https://github.com/ClimateGlobalChange/tempestextremes,ClimateGlobalChange__tempestextremes,data/github_repos/ClimateGlobalChange__tempestextremes,ok,,analysis/blobmetrics/doc/Framework_figure.pdf,1,0,,2026-03-17T12:42:48.079282Z
https://github.com/ChenYangyao/dwarf_assembly_bias,ChenYangyao__dwarf_assembly_bias,data/github_repos/ChenYangyao__dwarf_assembly_bias,ok,docs/figures/plots_observation.py; docs/figures/plots_theory.ipynb; src/dwarf_assembly_bias/config.py; src/dwarf_assembly_bias/sidm/jiang22/config.py,,4,0,,2026-03-17T12:42:48.174903Z
https://github.com/Craig-Montell-Lab/Chandel_DeBeaubien_2023,Craig-Montell-Lab__Chandel_DeBeaubien_2023,data/github_repos/Craig-Montell-Lab__Chandel_DeBeaubien_2023,ok,,,0,0,no_figure_files_detected,2026-03-17T12:42:48.426228Z
https://github.com/Cyberpunk2207/Metagel-ultrasonic-sensing,Cyberpunk2207__Metagel-ultrasonic-sensing,data/github_repos/Cyberpunk2207__Metagel-ultrasonic-sensing,ok,,,0,0,no_figure_files_detected,2026-03-17T12:42:48.505695Z
https://github.com/DanwangJessica/GRSR,DanwangJessica__GRSR,data/github_repos/DanwangJessica__GRSR,ok,,,0,0,no_figure_files_detected,2026-03-17T12:42:48.662136Z
https://github.com/DecodeGenetics/svimmer,DecodeGenetics__svimmer,data/github_repos/DecodeGenetics__svimmer,ok,,,0,0,no_figure_files_detected,2026-03-17T12:42:49.073811Z
https://github.com/DecodeGenetics/graphtyper,DecodeGenetics__graphtyper,data/github_repos/DecodeGenetics__graphtyper,ok,,,0,0,no_figure_files_detected,2026-03-17T12:42:49.105771Z
https://github.com/DyfanJones/RAthena,DyfanJones__RAthena,data/github_repos/DyfanJones__RAthena,ok,,docs/reference/Rplot001.png,1,0,,2026-03-17T12:42:49.768503Z
https://github.com/EngreitzLab/CRISPR_comparison,EngreitzLab__CRISPR_comparison,data/github_repos/EngreitzLab__CRISPR_comparison,ok,workflow/scripts/createPredConfig.R; workflow/scripts/crisprComparisonPlotFunctions.R,,2,0,,2026-03-17T12:42:51.118816Z
https://github.com/Ajaxels/MIB,Ajaxels__MIB,data/github_repos/Ajaxels__MIB,ok,Classes/@imageData/plotImage.m; GuiTools/im_browser_PanelShiftBtnUpFcn.m; ImportExportTools/export_fig/copyfig.m; ImportExportTools/export_fig/crop_borders.m; ImportExportTools/export_fig/export_fig.m; ImportExportTools/export_fig/im2gif.m; ImportExportTools/export_fig/isolate_axes.m; ImportExportTools/export_fig/print2array.m; ImportExportTools/export_fig/using_hg2.m; techdoc/ug_gui_panels.m; techdoc/ug_panel_adjustments.m; techdoc/ug_panel_bg_removal.m; techdoc/ug_panel_corr.m; techdoc/ug_panel_dir.m; techdoc/ug_panel_fiji_connect.m; techdoc/ug_panel_filters_coherence.m; techdoc/ug_panel_im_view.m; techdoc/ug_panel_image_filters.m; techdoc/ug_panel_mask_generators.m; techdoc/ug_panel_path.m; techdoc/ug_panel_roi.m; techdoc/ug_panel_segm.m; techdoc/ug_panel_segm_tools.m; techdoc/ug_panel_selection.m; techdoc/ug_panel_view_settings.m,techdoc/html/images/02_left_panel_selector.jpg; techdoc/html/images/02_right_panel_selector.jpg; techdoc/html/images/03_panel_image_view.jpg; techdoc/html/images/04_panel_path.jpg; techdoc/html/images/06_panel_dir.jpg; techdoc/html/images/07_panel_segm.jpg; techdoc/html/images/07_panel_segm_materials.jpg; techdoc/html/images/07_panel_segm_tools.jpg; techdoc/html/images/07_panel_segm_tools_3dball.jpg; techdoc/html/images/07_panel_segm_tools_annotations.jpg; techdoc/html/images/07_panel_segm_tools_annotations2.jpg; techdoc/html/images/07_panel_segm_tools_brush.jpg; techdoc/html/images/07_panel_segm_tools_brush_supervoxels.jpg; techdoc/html/images/07_panel_segm_tools_bw_thresholding.jpg; techdoc/html/images/07_panel_segm_tools_bw_thresholding_2.jpg; techdoc/html/images/07_panel_segm_tools_lasso.jpg; techdoc/html/images/07_panel_segm_tools_magic_wand.jpg; techdoc/html/images/07_panel_segm_tools_maskmodel.jpg; techdoc/html/images/07_panel_segm_tools_membrclicktracker.jpg; techdoc/html/images/07_panel_segm_tools_smartwatershed.jpg; techdoc/html/images/07_panel_segm_tools_spot.jpg; techdoc/html/images/08_panel_roi.jpg; techdoc/html/images/08_panel_roi_submenu.jpg; techdoc/html/images/09_panel_view_settings.jpg; techdoc/html/images/10_panel_selection.jpg; techdoc/html/images/11_panel_adj.jpg; techdoc/html/images/12_panel_adj_disp.jpg; techdoc/html/images/12_panel_adj_disp_context.jpg; techdoc/html/images/13_panel_frangi.jpg; techdoc/html/images/13_panel_image_filters.jpg; techdoc/html/images/13_panel_mask_gen_common.jpg; techdoc/html/images/13_panel_morph.jpg; techdoc/html/images/13_panel_morph_extMaxTrans.jpg; techdoc/html/images/13_panel_morph_extMinTrans.jpg; techdoc/html/images/14_panel_maskGen_strel.jpg; techdoc/html/images/14_panel_maskgenerators_bw.jpg; techdoc/html/images/16_panel_bg_remove.jpg; techdoc/html/images/16_panel_bg_remove_minima.jpg; techdoc/html/images/16_panel_bg_remove_morph.jpg; techdoc/html/images/17_panel_bw_filter.jpg; techdoc/html/images/18_panel_AnDiff_Options.jpg; techdoc/html/images/18_panel_AnDiff_Schemes.jpg; techdoc/html/images/18_panel_AnDiff_filter.jpg; techdoc/html/images/18_panel_AnDiff_size.jpg; techdoc/html/images/20_fijiconnect_panel.jpg; techdoc/html/images/panel_dir_buffermenu.jpg; techdoc/html/images/panel_dir_filecontext.jpg; techdoc/html/images/panel_im_view_slidercontext.jpg; techdoc/html/images/watershed_graphcut.jpg; techdoc/html/images/watershed_graphcut_settings.jpg; techdoc/html/images/watershed_graphcut_slic_vs_watershed.jpg; techdoc/html/ug_panel_bw_filter_eq29442.png; techdoc/html/ug_panel_bw_filter_eq31766.png; techdoc/html/ug_panel_bw_filter_eq43331.png; techdoc/html/ug_panel_bw_filter_eq63766.png; techdoc/html/ug_panel_bw_filter_eq65489.png; techdoc/html/ug_panel_bw_filter_eq74220.png; techdoc/html/ug_panel_bw_filter_eq89230.png; techdoc/html/ug_panel_segm_analysis_eq05913.png; techdoc/html/ug_panel_segm_analysis_eq18525.png; techdoc/html/ug_panel_segm_analysis_eq53775.png; techdoc/html/ug_panel_segm_analysis_eq74601.png; techdoc/html/ug_panel_segm_analysis_eq91082.png; techdoc/html/ug_panel_segm_eq05913.png,89,0,,2026-03-17T12:42:51.193505Z
