figure_type_l1,count
Multi-Panel Composite,1561
Plotting Script (Generic),842
Image Panel,361
Network/Graph,298
Heatmap,230
Other/Uncategorized,158
Genome Tracks,108
ROC/PR Curve,101
3D/Structure,100
Pathway/Diagram,63
Line Chart,49
Box/Violin Plot,39
Area/Stacked Chart,39
Table,34
Spatial/Map,31
Histogram/Density,24
Dimensionality Reduction,22
Raster/Spike,21
Scatter Plot,21
Tree/Phylogeny,20
Pie/Donut,19
Bar Chart,17
Flow Cytometry,1
