repo_url,repo_slug,file_kind,file_path
https://github.com/ClimateGlobalChange/tempestextremes,ClimateGlobalChange__tempestextremes,image,analysis/blobmetrics/doc/Framework_figure.pdf
https://github.com/ChenYangyao/dwarf_assembly_bias,ChenYangyao__dwarf_assembly_bias,code,docs/figures/plots_observation.py
https://github.com/ChenYangyao/dwarf_assembly_bias,ChenYangyao__dwarf_assembly_bias,code,docs/figures/plots_theory.ipynb
https://github.com/ChenYangyao/dwarf_assembly_bias,ChenYangyao__dwarf_assembly_bias,code,src/dwarf_assembly_bias/config.py
https://github.com/ChenYangyao/dwarf_assembly_bias,ChenYangyao__dwarf_assembly_bias,code,src/dwarf_assembly_bias/sidm/jiang22/config.py
https://github.com/DyfanJones/RAthena,DyfanJones__RAthena,image,docs/reference/Rplot001.png
https://github.com/EngreitzLab/CRISPR_comparison,EngreitzLab__CRISPR_comparison,code,workflow/scripts/createPredConfig.R
https://github.com/EngreitzLab/CRISPR_comparison,EngreitzLab__CRISPR_comparison,code,workflow/scripts/crisprComparisonPlotFunctions.R
https://github.com/Ajaxels/MIB,Ajaxels__MIB,code,Classes/@imageData/plotImage.m
https://github.com/Ajaxels/MIB,Ajaxels__MIB,code,GuiTools/im_browser_PanelShiftBtnUpFcn.m
https://github.com/Ajaxels/MIB,Ajaxels__MIB,code,ImportExportTools/export_fig/copyfig.m
https://github.com/Ajaxels/MIB,Ajaxels__MIB,code,ImportExportTools/export_fig/crop_borders.m
https://github.com/Ajaxels/MIB,Ajaxels__MIB,code,ImportExportTools/export_fig/export_fig.m
https://github.com/Ajaxels/MIB,Ajaxels__MIB,code,ImportExportTools/export_fig/im2gif.m
https://github.com/Ajaxels/MIB,Ajaxels__MIB,code,ImportExportTools/export_fig/isolate_axes.m
https://github.com/Ajaxels/MIB,Ajaxels__MIB,code,ImportExportTools/export_fig/print2array.m
https://github.com/Ajaxels/MIB,Ajaxels__MIB,code,ImportExportTools/export_fig/using_hg2.m
https://github.com/Ajaxels/MIB,Ajaxels__MIB,code,techdoc/ug_gui_panels.m
https://github.com/Ajaxels/MIB,Ajaxels__MIB,code,techdoc/ug_panel_adjustments.m
https://github.com/Ajaxels/MIB,Ajaxels__MIB,code,techdoc/ug_panel_bg_removal.m
https://github.com/Ajaxels/MIB,Ajaxels__MIB,code,techdoc/ug_panel_corr.m
https://github.com/Ajaxels/MIB,Ajaxels__MIB,code,techdoc/ug_panel_dir.m
https://github.com/Ajaxels/MIB,Ajaxels__MIB,code,techdoc/ug_panel_fiji_connect.m
https://github.com/Ajaxels/MIB,Ajaxels__MIB,code,techdoc/ug_panel_filters_coherence.m
https://github.com/Ajaxels/MIB,Ajaxels__MIB,code,techdoc/ug_panel_im_view.m
https://github.com/Ajaxels/MIB,Ajaxels__MIB,code,techdoc/ug_panel_image_filters.m
https://github.com/Ajaxels/MIB,Ajaxels__MIB,code,techdoc/ug_panel_mask_generators.m
https://github.com/Ajaxels/MIB,Ajaxels__MIB,code,techdoc/ug_panel_path.m
https://github.com/Ajaxels/MIB,Ajaxels__MIB,code,techdoc/ug_panel_roi.m
https://github.com/Ajaxels/MIB,Ajaxels__MIB,code,techdoc/ug_panel_segm.m
https://github.com/Ajaxels/MIB,Ajaxels__MIB,code,techdoc/ug_panel_segm_tools.m
https://github.com/Ajaxels/MIB,Ajaxels__MIB,code,techdoc/ug_panel_selection.m
https://github.com/Ajaxels/MIB,Ajaxels__MIB,code,techdoc/ug_panel_view_settings.m
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/02_left_panel_selector.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/02_right_panel_selector.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/03_panel_image_view.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/04_panel_path.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/06_panel_dir.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/07_panel_segm.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/07_panel_segm_materials.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/07_panel_segm_tools.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/07_panel_segm_tools_3dball.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/07_panel_segm_tools_annotations.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/07_panel_segm_tools_annotations2.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/07_panel_segm_tools_brush.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/07_panel_segm_tools_brush_supervoxels.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/07_panel_segm_tools_bw_thresholding.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/07_panel_segm_tools_bw_thresholding_2.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/07_panel_segm_tools_lasso.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/07_panel_segm_tools_magic_wand.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/07_panel_segm_tools_maskmodel.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/07_panel_segm_tools_membrclicktracker.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/07_panel_segm_tools_smartwatershed.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/07_panel_segm_tools_spot.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/08_panel_roi.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/08_panel_roi_submenu.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/09_panel_view_settings.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/10_panel_selection.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/11_panel_adj.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/12_panel_adj_disp.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/12_panel_adj_disp_context.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/13_panel_frangi.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/13_panel_image_filters.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/13_panel_mask_gen_common.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/13_panel_morph.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/13_panel_morph_extMaxTrans.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/13_panel_morph_extMinTrans.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/14_panel_maskGen_strel.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/14_panel_maskgenerators_bw.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/16_panel_bg_remove.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/16_panel_bg_remove_minima.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/16_panel_bg_remove_morph.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/17_panel_bw_filter.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/18_panel_AnDiff_Options.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/18_panel_AnDiff_Schemes.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/18_panel_AnDiff_filter.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/18_panel_AnDiff_size.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/20_fijiconnect_panel.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/panel_dir_buffermenu.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/panel_dir_filecontext.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/panel_im_view_slidercontext.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/watershed_graphcut.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/watershed_graphcut_settings.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/images/watershed_graphcut_slic_vs_watershed.jpg
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/ug_panel_bw_filter_eq29442.png
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/ug_panel_bw_filter_eq31766.png
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/ug_panel_bw_filter_eq43331.png
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/ug_panel_bw_filter_eq63766.png
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/ug_panel_bw_filter_eq65489.png
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/ug_panel_bw_filter_eq74220.png
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/ug_panel_bw_filter_eq89230.png
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/ug_panel_segm_analysis_eq05913.png
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/ug_panel_segm_analysis_eq18525.png
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/ug_panel_segm_analysis_eq53775.png
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/ug_panel_segm_analysis_eq74601.png
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/ug_panel_segm_analysis_eq91082.png
https://github.com/Ajaxels/MIB,Ajaxels__MIB,image,techdoc/html/ug_panel_segm_eq05913.png
https://github.com/Brody-Lab/decision_dynamics_commitment,Brody-Lab__decision_dynamics_commitment,code,code/+common/load_and_plot_psychometric.m
https://github.com/Brody-Lab/decision_dynamics_commitment,Brody-Lab__decision_dynamics_commitment,code,code/+common/plot_PCTH_choice_difference.m
https://github.com/Brody-Lab/decision_dynamics_commitment,Brody-Lab__decision_dynamics_commitment,code,code/+common/plot_flow_field.m
https://github.com/Brody-Lab/decision_dynamics_commitment,Brody-Lab__decision_dynamics_commitment,code,code/+common/plot_flow_speed.m
https://github.com/Brody-Lab/decision_dynamics_commitment,Brody-Lab__decision_dynamics_commitment,code,code/+common/plot_flow_speed_difference_over_time.m
https://github.com/Brody-Lab/decision_dynamics_commitment,Brody-Lab__decision_dynamics_commitment,code,code/+common/plot_peth.m
https://github.com/Brody-Lab/decision_dynamics_commitment,Brody-Lab__decision_dynamics_commitment,code,code/+common/plot_psychometric.m
https://github.com/Brody-Lab/decision_dynamics_commitment,Brody-Lab__decision_dynamics_commitment,code,code/+common/savegraphic.m
https://github.com/Brody-Lab/decision_dynamics_commitment,Brody-Lab__decision_dynamics_commitment,code,code/+common/shadeplot.m
https://github.com/Brody-Lab/decision_dynamics_commitment,Brody-Lab__decision_dynamics_commitment,code,code/+common/spikeRasterPlot.m
https://github.com/Brody-Lab/decision_dynamics_commitment,Brody-Lab__decision_dynamics_commitment,code,code/data_collection/ExperPort@f40c8d0/Analysis/@neurobrowser/private/shittyPlot.m
https://github.com/Brody-Lab/decision_dynamics_commitment,Brody-Lab__decision_dynamics_commitment,code,code/data_collection/ExperPort@f40c8d0/Analysis/NL2AFC_MIX/Subplot_summry_070227.m
https://github.com/Brody-Lab/decision_dynamics_commitment,Brody-Lab__decision_dynamics_commitment,code,code/data_collection/ExperPort@f40c8d0/Analysis/NL2AFC_MIX/data_plot_2afc.m
https://github.com/Brody-Lab/decision_dynamics_commitment,Brody-Lab__decision_dynamics_commitment,code,code/data_collection/ExperPort@f40c8d0/Analysis/NL2AFC_MIX/pid_fv_plot.m
https://github.com/Brody-Lab/decision_dynamics_commitment,Brody-Lab__decision_dynamics_commitment,code,code/data_collection/ExperPort@f40c8d0/Analysis/NL2AFC_MIX/pid_plot_save.m
https://github.com/Brody-Lab/decision_dynamics_commitment,Brody-Lab__decision_dynamics_commitment,code,code/data_collection/ExperPort@f40c8d0/Analysis/NeuraLynx/dtheta_plot.m
https://github.com/Brody-Lab/decision_dynamics_commitment,Brody-Lab__decision_dynamics_commitment,code,code/data_collection/ExperPort@f40c8d0/Analysis/NeuraLynx/psthplot.m
https://github.com/Brody-Lab/decision_dynamics_commitment,Brody-Lab__decision_dynamics_commitment,code,code/data_collection/ExperPort@f40c8d0/Analysis/NeuraLynx/summary_plot.m
https://github.com/Brody-Lab/decision_dynamics_commitment,Brody-Lab__decision_dynamics_commitment,code,code/data_collection/ExperPort@f40c8d0/Analysis/NeuraLynx/summary_plot2.m
https://github.com/Brody-Lab/decision_dynamics_commitment,Brody-Lab__decision_dynamics_commitment,code,code/data_collection/ExperPort@f40c8d0/Analysis/NeuraLynx/waveplot.m
https://github.com/Brody-Lab/decision_dynamics_commitment,Brody-Lab__decision_dynamics_commitment,code,code/data_collection/ExperPort@f40c8d0/Analysis/Odor2AFC/pid_fv_plot.m
https://github.com/Brody-Lab/decision_dynamics_commitment,Brody-Lab__decision_dynamics_commitment,code,code/data_collection/ExperPort@f40c8d0/Analysis/Odor2AFC/pid_plot_save.m
https://github.com/Brody-Lab/decision_dynamics_commitment,Brody-Lab__decision_dynamics_commitment,code,code/data_collection/ExperPort@f40c8d0/Analysis/Odor_Segm/bgodor_plot.m
https://github.com/Brody-Lab/decision_dynamics_commitment,Brody-Lab__decision_dynamics_commitment,code,code/data_collection/ExperPort@f40c8d0/Analysis/Odor_Segm/plot_samptime.m
https://github.com/Brody-Lab/decision_dynamics_commitment,Brody-Lab__decision_dynamics_commitment,code,code/data_collection/ExperPort@f40c8d0/Analysis/Odor_Segm/rand_bg_plot.m
https://github.com/Brody-Lab/decision_dynamics_commitment,Brody-Lab__decision_dynamics_commitment,code,code/data_collection/ExperPort@f40c8d0/Analysis/SameDifferent/do_infusion_plot.m
https://github.com/Brody-Lab/decision_dynamics_commitment,Brody-Lab__decision_dynamics_commitment,code,code/data_collection/ExperPort@f40c8d0/Analysis/Video_Tracker/GUI/PlotFrameFromTarget.m
https://github.com/Brody-Lab/decision_dynamics_commitment,Brody-Lab__decision_dynamics_commitment,code,code/data_collection/ExperPort@f40c8d0/Analysis/Video_Tracker/GUI/UpdateProgressplot.m
https://github.com/Brody-Lab/decision_dynamics_commitment,Brody-Lab__decision_dynamics_commitment,code,code/data_collection/ExperPort@f40c8d0/Analysis/delayed_discrim/plot_psycho_pa.m
https://github.com/Brody-Lab/decision_dynamics_commitment,Brody-Lab__decision_dynamics_commitment,code,code/data_collection/ExperPort@f40c8d0/Analysis/duration_disc/allfigs__scale.m
https://github.com/Brody-Lab/decision_dynamics_commitment,Brody-Lab__decision_dynamics_commitment,code,code/data_collection/ExperPort@f40c8d0/Analysis/duration_disc/figure__tile.m
https://github.com/Brody-Lab/decision_dynamics_commitment,Brody-Lab__decision_dynamics_commitment,code,code/data_collection/ExperPort@f40c8d0/Analysis/duration_disc/graphicutil/group_colour.m
https://github.com/Brody-Lab/decision_dynamics_commitment,Brody-Lab__decision_dynamics_commitment,code,code/data_collection/ExperPort@f40c8d0/Analysis/duration_disc/graphicutil/joinwithsigline.m
