repo_url,repo_slug,repo_dir,scan_status,figure_code_files,figure_image_files,copied_assets,lfs_pointers,notes,last_scanned
https://github.com/covid19-hg/META_ANALYSIS,covid19-hg__META_ANALYSIS,data/github_repos/covid19-hg__META_ANALYSIS,ok,,,0,0,no_figure_files_detected,2026-03-17T12:49:46.714563Z
https://github.com/cran/rgeos,cran__rgeos,data/github_repos/cran__rgeos,ok,,,0,0,no_figure_files_detected,2026-03-17T12:49:46.738011Z
https://github.com/datameet/Municipal_Spatial_Data,datameet__Municipal_Spatial_Data,data/github_repos/datameet__Municipal_Spatial_Data,ok,,,0,0,no_figure_files_detected,2026-03-17T12:49:46.941676Z
https://github.com/davepruitt/RePlay,davepruitt__RePlay,data/github_repos/davepruitt__RePlay,ok,,,0,0,no_figure_files_detected,2026-03-17T12:49:47.137942Z
https://github.com/dasch-lab/K_pneumoniae-anti_capsule_mabs,dasch-lab__K_pneumoniae-anti_capsule_mabs,data/github_repos/dasch-lab__K_pneumoniae-anti_capsule_mabs,ok,scripts/word_map_plot.py,,1,0,,2026-03-17T12:49:47.343995Z
https://github.com/danzllab/LICONN,danzllab__LICONN,data/github_repos/danzllab__LICONN,ok,Distortion_analysis/error_plot.m,Distortion_analysis/outputs/error_plot.png,2,0,,2026-03-17T12:49:47.426119Z
https://github.com/cortex-lab/alyx,cortex-lab__alyx,data/github_repos/cortex-lab__alyx,ok,alyx/subjects/static/subjects/assets/js/chart.js,,1,0,,2026-03-17T12:49:47.450557Z
https://github.com/declancooper/CommonSpecies2022,declancooper__CommonSpecies2022,data/github_repos/declancooper__CommonSpecies2022,ok,,,0,0,no_figure_files_detected,2026-03-17T12:49:47.522876Z
https://github.com/denisecailab/ezTrack,denisecailab__ezTrack,data/github_repos/denisecailab__ezTrack,ok,,,0,0,no_figure_files_detected,2026-03-17T12:49:47.694700Z
https://github.com/dcjones/proseg,dcjones__proseg,data/github_repos/dcjones__proseg,ok,,figure.png,1,0,,2026-03-17T12:49:47.753085Z
https://github.com/denisecailab/minian,denisecailab__minian,data/github_repos/denisecailab__minian,ok,,,0,0,no_figure_files_detected,2026-03-17T12:49:47.856022Z
