repo_url,repo_slug,repo_dir,scan_status,figure_code_files,figure_image_files,copied_assets,lfs_pointers,notes,last_scanned
https://github.com/XiaoyangSu/AccuCor,XiaoyangSu__AccuCor,data/github_repos/XiaoyangSu__AccuCor,ok,,,0,0,no_figure_files_detected,2026-03-17T12:49:32.327954Z
https://github.com/XanaduAI/MrMustard,XanaduAI__MrMustard,data/github_repos/XanaduAI__MrMustard,ok,,,0,0,no_figure_files_detected,2026-03-17T12:49:32.375081Z
https://github.com/YoshitakaMo/localcolabfold,YoshitakaMo__localcolabfold,data/github_repos/YoshitakaMo__localcolabfold,ok,,,0,0,no_figure_files_detected,2026-03-17T12:49:32.495042Z
https://github.com/Yujie-S/Click-ExM_data_process_and_example,Yujie-S__Click-ExM_data_process_and_example,data/github_repos/Yujie-S__Click-ExM_data_process_and_example,ok,,,0,0,no_figure_files_detected,2026-03-17T12:49:32.580258Z
https://github.com/ZhaoZhangZZlab/eccDNA_formation_2021,ZhaoZhangZZlab__eccDNA_formation_2021,data/github_repos/ZhaoZhangZZlab__eccDNA_formation_2021,ok,,,0,0,no_figure_files_detected,2026-03-17T12:49:32.672345Z
https://github.com/YosefLab/scib-metrics,YosefLab__scib-metrics,data/github_repos/YosefLab__scib-metrics,ok,src/scib_metrics/metrics/_graph_connectivity.py,,1,0,,2026-03-17T12:49:32.849261Z
https://github.com/YosefLab/Hotspot,YosefLab__Hotspot,data/github_repos/YosefLab__Hotspot,ok,hotspot/plots.py,docs/source/_static/corr_plot.png,2,0,,2026-03-17T12:49:33.036455Z
https://github.com/ZhuangLab/storm-control,ZhuangLab__storm-control,data/github_repos/ZhuangLab__storm-control,ok,storm_control/hal4000/qtWidgets/qtCameraGraphicsScene.py; storm_control/hal4000/qtWidgets/qtCameraGraphicsView.py; storm_control/test/hal/config_tests.py; storm_control/test/test_hal_lock_config1.py; storm_control/zee_calibrator/plot.py,,5,0,,2026-03-17T12:49:33.423819Z
https://github.com/achaiah/pywick,achaiah__pywick,data/github_repos/achaiah__pywick,ok,pywick/dictmodels/dict_config.py; pywick/models/segmentation/config.py; pywick/models/segmentation/testnets/gscnn/config.py; pywick/models/segmentation/testnets/hrnetv2/hrnet_config.py,,4,0,,2026-03-17T12:49:33.621329Z
https://github.com/achamolly/mechanical_self_organisation,achamolly__mechanical_self_organisation,data/github_repos/achamolly__mechanical_self_organisation,ok,lib_plot.py,,1,0,,2026-03-17T12:49:33.720765Z
https://github.com/YichaoOU/ABE_NonCoding_functional_score,YichaoOU__ABE_NonCoding_functional_score,data/github_repos/YichaoOU__ABE_NonCoding_functional_score,ok,HbF_patients_classification/scatter_plot.py; RNA_seq/RNA_editing/jitter_plot.ipynb; per_A_base_score/Epigenetic_features_enrichment/plot.py; per_A_base_score/HbF_score_classification/add_more_A/barplot.py; per_A_base_score/HbF_score_classification/add_more_A/barplot_NG_revision.py; per_A_base_score/comparison_to_CADD_DeepSEA_GERP/jupyter_notebooks/score_signal_plot.ipynb,HbF_patients_classification/auPRC_boxplot.pdf; HbF_patients_classification/auROC_boxplot.pdf; RNA_seq/RNA_editing/RNA_editing_jitter_plot.pdf; per_A_base_score/HbF_score_classification/add_more_A/barplot_auROC.pdf; per_A_base_score/HbF_score_classification/add_more_A/barplot_auROC_mean.pdf; per_A_base_score/HbF_score_classification/add_more_A/barplot_auROC_mean_only_all_NG.pdf; per_A_base_score/HbF_score_classification/add_more_epi/auPRC_boxplot.pdf; per_A_base_score/HbF_score_classification/add_more_epi/auROC_boxplot.pdf; per_A_base_score/HbF_score_classification/auPRC_boxplot.pdf; per_A_base_score/HbF_score_classification/auROC_boxplot.pdf; per_A_base_score/editing_frequency/average_model/editing_frequecy_barplot.pdf; tissue_specificity_score/lineage_plot/plot.pdf; tissue_specificity_score/lineage_plot/yli11_2020-01-17_b34dc5a0466d.svg; tissue_specificity_score/lineage_plot/yli11_2020-01-17_b34dc5a0466d_colorbar.pdf,20,0,,2026-03-17T12:49:33.835296Z
https://github.com/agshumate/Liftoff,agshumate__Liftoff,data/github_repos/agshumate__Liftoff,ok,,,0,0,no_figure_files_detected,2026-03-17T12:49:33.905625Z
https://github.com/amckenna41/protPy,amckenna41__protPy,data/github_repos/amckenna41__protPy,ok,,,0,0,no_figure_files_detected,2026-03-17T12:49:34.069971Z
https://github.com/afeinstein20/nirhiss,afeinstein20__nirhiss,data/github_repos/afeinstein20__nirhiss,ok,src/nirhiss/plotting.py,figures/snek.png,2,0,,2026-03-17T12:49:34.225237Z
https://github.com/ZijieZhaoMMHW/m_mhw1.0,ZijieZhaoMMHW__m_mhw1.0,data/github_repos/ZijieZhaoMMHW__m_mhw1.0,ok,,store_figure/codebook.png; store_figure/determine_k.png; store_figure/event_mcs.png; store_figure/event_mhw.png; store_figure/mean_and_trend.png; store_figure/mhw_category.png; store_figure/mhweof.png; store_figure/mhweof_a.png; store_figure/mhweof_b.png; store_figure/mhwseas.png; store_figure/sst_9.png,11,0,,2026-03-17T12:49:34.244595Z
https://github.com/apeltzer/DeDup,apeltzer__DeDup,data/github_repos/apeltzer__DeDup,ok,,,0,0,no_figure_files_detected,2026-03-17T12:49:34.366743Z
https://github.com/alhashimilab/TAR_Thermodynamic_Model,alhashimilab__TAR_Thermodynamic_Model,data/github_repos/alhashimilab__TAR_Thermodynamic_Model,ok,dG_Correlation_Analysis/Correlation_Plots.ipynb,,1,0,,2026-03-17T12:49:34.465583Z
https://github.com/arozanski97/CDR-Finder,arozanski97__CDR-Finder,data/github_repos/arozanski97__CDR-Finder,ok,,,0,0,no_figure_files_detected,2026-03-17T12:49:34.546197Z
https://github.com/arozanski97/SUNK-based-contig-scaffolding,arozanski97__SUNK-based-contig-scaffolding,data/github_repos/arozanski97__SUNK-based-contig-scaffolding,ok,,,0,0,no_figure_files_detected,2026-03-17T12:49:34.631402Z
https://github.com/apache/arrow,apache__arrow,data/github_repos/apache__arrow,ok,cpp/src/arrow/acero/hash_join_graphs.py; r/R/config.R; r/tests/testthat/test-config.R,docs/source/cpp/acero/simple_graph.svg,4,0,,2026-03-17T12:49:35.046409Z
https://github.com/bbglab/deepUMIcaller,bbglab__deepUMIcaller,data/github_repos/bbglab__deepUMIcaller,ok,bin/family_size_plots.py,,1,0,,2026-03-17T12:49:35.319441Z
https://github.com/bbglab/deepCSA,bbglab__deepCSA,data/github_repos/bbglab__deepCSA,ok,bin/__plot_selectionfeatures.py; bin/create_consensus_panel.py; bin/create_panel4sample.py; bin/create_panel_versions.py; bin/panel_custom_processing.py; bin/panel_postprocessing_annotation.py; bin/panels_computedna2protein.py; bin/panels_dna2domain.py; bin/plot_depths.py; bin/plot_explore_variability.py; bin/plot_gene_saturation.py; bin/plot_maf.py; bin/plot_needles.py; bin/plot_selection_indels.py; bin/plot_selection_omega.py; bin/plot_selection_oncodrivefml.py; bin/plot_selectionsideplots.py; bin/utils_plot.py,,18,0,,2026-03-17T12:49:35.830705Z
https://github.com/bbglab/intogen-plus,bbglab__intogen-plus,data/github_repos/bbglab__intogen-plus,ok,build/containers/hotmaps/scripts/src/graph.py; combination/intogen_combination/config.py,,2,0,,2026-03-17T12:49:35.860386Z
https://github.com/bbglab/omega,bbglab__omega,data/github_repos/bbglab__omega,ok,,,0,0,no_figure_files_detected,2026-03-17T12:49:36.008747Z
https://github.com/bbushnell/BBTools,bbushnell__BBTools,data/github_repos/bbushnell__BBTools,ok,,,0,0,no_figure_files_detected,2026-03-17T12:49:36.065189Z
https://github.com/bethatkinson/rpart,bethatkinson__rpart,data/github_repos/bethatkinson__rpart,ok,R/plot.rpart.R; R/plotcp.R,man/figures/rpart.png,3,0,,2026-03-17T12:49:36.582866Z
https://github.com/billkarsh/SpikeGLX,billkarsh__SpikeGLX,data/github_repos/billkarsh__SpikeGLX,ok,,,0,0,no_figure_files_detected,2026-03-17T12:49:36.800697Z
https://github.com/afredston/marine_heatwaves_trawl,afredston__marine_heatwaves_trawl,data/github_repos/afredston__marine_heatwaves_trawl,ok,MHW_stats_and_figures_main_text.R; MHW_stats_and_figures_supplement.Rmd,MHW_stats_and_figures_supplement.pdf; extended/mainplot_by_reg.jpg; figures/color_scale.png; figures/figure_1.png; figures/final_biomass_point.pdf; figures/final_biomass_point.png; figures/final_biomass_point_abs.pdf; figures/final_biomass_point_abs.png; figures/final_cti_hist.pdf; figures/final_cti_hist.png; figures/final_sti_cti.pdf; figures/final_sti_cti.png; figures/inset_timeseries_BITS.pdf; figures/inset_timeseries_BITS.png; figures/inset_timeseries_DFO-QCS.pdf; figures/inset_timeseries_DFO-QCS.png; figures/inset_timeseries_EBS.pdf; figures/inset_timeseries_EBS.png; figures/inset_timeseries_EVHOE.pdf; figures/inset_timeseries_EVHOE.png; figures/inset_timeseries_FR-CGFS.pdf; figures/inset_timeseries_FR-CGFS.png; figures/inset_timeseries_GMEX.pdf; figures/inset_timeseries_GMEX.png; figures/inset_timeseries_GOA.pdf; figures/inset_timeseries_GOA.png; figures/inset_timeseries_GSL-S.pdf; figures/inset_timeseries_GSL-S.png; figures/inset_timeseries_IE-IGFS.pdf; figures/inset_timeseries_IE-IGFS.png; figures/inset_timeseries_NEUS.pdf; figures/inset_timeseries_NEUS.png; figures/inset_timeseries_NIGFS.pdf; figures/inset_timeseries_NIGFS.png; figures/inset_timeseries_NS-IBTS.pdf; figures/inset_timeseries_NS-IBTS.png; figures/inset_timeseries_Nor-BTS.pdf; figures/inset_timeseries_Nor-BTS.png; figures/inset_timeseries_PT-IBTS.pdf; figures/inset_timeseries_PT-IBTS.png; figures/inset_timeseries_SCS.pdf; figures/inset_timeseries_SCS.png; figures/inset_timeseries_SEUS.pdf; figures/inset_timeseries_SEUS.png; figures/inset_timeseries_SWC-IBTS.pdf; figures/inset_timeseries_SWC-IBTS.png; figures/inset_timeseries_WCANN.pdf; figures/inset_timeseries_WCANN.png; figures/nepacific_biomass.pdf; figures/nepacific_biomass.png; figures/nepacific_bray.pdf; figures/nepacific_bray.png; figures/nepacific_cti.pdf; figures/nepacific_cti.png; figures/survey_regions_polar_polygon.jpg; figures/survey_regions_polar_polygon_jepa.jpg,58,0,,2026-03-17T12:49:37.295797Z
https://github.com/bintulab/HT-recruit-Analyze,bintulab__HT-recruit-Analyze,data/github_repos/bintulab__HT-recruit-Analyze,ok,Scripts/plotDist.py,,1,0,,2026-03-17T12:49:37.367288Z
https://github.com/boxialaboratory/Tail-Loss-Primates,boxialaboratory__Tail-Loss-Primates,data/github_repos/boxialaboratory__Tail-Loss-Primates,ok,,,0,0,no_figure_files_detected,2026-03-17T12:49:37.472585Z
https://github.com/bgreenwell/fastshap,bgreenwell__fastshap,data/github_repos/bgreenwell__fastshap,ok,,man/figures/ames-explain-global-parallel-dependence-1.png; man/figures/ames-explain-global-parallel-importance-1.png; man/figures/logo-fastshap.png; man/figures/logo-fastshap.svg; man/figures/titanic-explain-global-dependence-1.png; man/figures/titanic-explain-global-importance-1.png; man/figures/titanic-explain-jack-force-1.png; man/figures/titanic-explain-jack-waterfall-1.png; rjarticle/greenwell_files/figure-html5/als-ngb-normal-1.png; rjarticle/greenwell_files/figure-html5/als-ngboost-fastshap-1.png; rjarticle/greenwell_files/figure-html5/als-ngboost-fastshap-waterfall-1.png; rjarticle/greenwell_files/figure-html5/als-ngboost-shap-1.png; rjarticle/greenwell_files/figure-html5/ex-titanic-benchmark-1.png; rjarticle/greenwell_files/figure-latex/als-ngb-normal-1.pdf; rjarticle/greenwell_files/figure-latex/als-ngboost-fastshap-1.pdf; rjarticle/greenwell_files/figure-latex/als-ngboost-fastshap-waterfall-1.pdf; rjarticle/greenwell_files/figure-latex/als-ngboost-shap-1.pdf; rjarticle/greenwell_files/figure-latex/ex-titanic-benchmark-1.pdf,18,0,,2026-03-17T12:49:37.602778Z
https://github.com/broadinstitute/picard,broadinstitute__picard,data/github_repos/broadinstitute__picard,ok,,,0,0,no_figure_files_detected,2026-03-17T12:49:37.796790Z
https://github.com/browning-lab/sprime,browning-lab__sprime,data/github_repos/browning-lab__sprime,ok,,,0,0,no_figure_files_detected,2026-03-17T12:49:37.974281Z
https://github.com/broadinstitute/Drop-seq,broadinstitute__Drop-seq,data/github_repos/broadinstitute__Drop-seq,ok,src/R/packages/DropSeq.eqtl/R/eQTLPlots.R; src/R/packages/DropSeq.eqtl/R/geneLeveleQTLPlots.R,,2,0,,2026-03-17T12:49:38.070059Z
